Time,uncertainty
2024-03-11 18:00:00,0.0015173092967597768
2024-03-11 19:00:00,0.0015173092967597768
2024-03-11 20:00:00,0.0015170286627835595
2024-03-11 21:00:00,0.001518591107451357
2024-03-11 22:00:00,0.0015173092967597768
2024-03-11 23:00:00,0.0015183346281992273
2024-03-12 00:00:00,0.001518591107451357
2024-03-12 01:00:00,0.0015173092967597768
2024-03-12 02:00:00,0.001518487168941647
2024-03-12 03:00:00,0.001518487168941647
2024-03-12 04:00:00,0.0015172791399527341
2024-03-12 05:00:00,0.001518487168941647
2024-03-12 06:00:00,0.001518487168941647
2024-03-12 07:00:00,0.001518487168941647
2024-03-12 08:00:00,0.001518487168941647
2024-03-12 09:00:00,0.001518487168941647
2024-03-12 10:00:00,0.001518487168941647
2024-03-12 11:00:00,0.0015197553651523778
2024-03-12 12:00:00,0.0015173092967597768
2024-03-12 13:00:00,0.001518487168941647
2024-03-12 14:00:00,0.0015173092967597768
2024-03-12 15:00:00,0.001518591107451357
2024-03-12 16:00:00,0.0015161157606053167
2024-03-12 17:00:00,0.0015161157606053167
2024-03-12 18:00:00,0.001516252490982879
2024-03-12 19:00:00,0.0015173092967597768
2024-03-12 20:00:00,0.0015164158647530714
2024-03-12 21:00:00,0.0015176970898755828
2024-03-12 22:00:00,0.0015140674400026912
2024-03-12 23:00:00,0.0015164158647530714
2024-03-13 00:00:00,0.001518487168941647
2024-03-13 01:00:00,0.0015172791399527341
2024-03-13 02:00:00,0.0015172791399527341
2024-03-13 03:00:00,0.0015197553651523778
2024-03-13 04:00:00,0.001518487168941647
2024-03-13 05:00:00,0.0015189428880694324
2024-03-13 06:00:00,0.0015189428880694324
2024-03-13 07:00:00,0.0015177831685286947
2024-03-13 08:00:00,0.0015177831685286947
2024-03-13 09:00:00,0.0015177831685286947
2024-03-13 10:00:00,0.0015189428880694324
2024-03-13 11:00:00,0.0015166852265247144
2024-03-13 12:00:00,0.0015165527415229008
2024-03-13 13:00:00,0.0015165527415229008
2024-03-13 14:00:00,0.0015165527415229008
2024-03-13 15:00:00,0.0015165527415229008
2024-03-13 16:00:00,0.0015154511397122406
2024-03-13 17:00:00,0.0015143452925258317
2024-03-13 18:00:00,0.0015154736841213891
2024-03-13 19:00:00,0.0015143452925258317
2024-03-13 20:00:00,0.0015127250229124913
2024-03-13 21:00:00,0.0015138475588173607
2024-03-13 22:00:00,0.0015149257378652694
2024-03-13 23:00:00,0.0015161157606053167
2024-03-14 00:00:00,0.0015172791399527341
2024-03-14 01:00:00,0.0015172791399527341
2024-03-14 02:00:00,0.0015161191276274622
2024-03-14 03:00:00,0.0015191538393264637
2024-03-14 04:00:00,0.0015168488930794412
2024-03-14 05:00:00,0.0015168488930794412
2024-03-14 06:00:00,0.0015151753366808409
2024-03-14 07:00:00,0.0015154073684243486
