Time,Predicted_MHC_Water_Level,CI_Lower,CI_Upper,12H_MA,72H_MA,96H_MA,120H_MA
2023-07-04 21:00:00,1.5932373769365962,1.4284851165238943,1.757989637349298,,,,
2023-07-04 22:00:00,1.7407165296342353,1.369176919529903,2.1122561397385677,,,,
2023-07-04 23:00:00,1.8636481730818617,1.420144914257924,2.3071514319058,,,,
2023-07-05 00:00:00,2.1328927095080448,1.445884672573213,2.8199007464428765,,,,
2023-07-05 01:00:00,2.2198449444027397,1.5875611277134738,2.852128761092005,,,,
2023-07-05 02:00:00,2.4670334625875867,1.8790910848097968,3.0549758403653766,,,,
2023-07-05 03:00:00,2.5762807758252366,1.865182967521288,3.2873785841291854,,,,
2023-07-05 04:00:00,2.808333467226296,2.0744995573232394,3.5421673771293527,,,,
2023-07-05 05:00:00,2.907975747261239,2.2255037269895617,3.5904477675329165,,,,
2023-07-05 06:00:00,2.905048855446975,2.1691300965995586,3.640967614294391,,,,
2023-07-05 07:00:00,2.9434733564061117,2.263572912009303,3.62337380080292,,,,
2023-07-05 08:00:00,3.0875743936318227,2.393973766968269,3.781175020295376,2.4371716493290623,,,
2023-07-05 09:00:00,3.2850219665525384,2.8313742507570105,3.7386696823480654,2.578153698463724,,,
2023-07-05 10:00:00,3.2737033455818825,2.8605340665672943,3.686872624596471,2.705902599792695,,,
2023-07-05 11:00:00,3.2085900993055776,2.854829335311569,3.562350863299586,2.8179810936446708,,,
2023-07-05 12:00:00,3.1574429647500017,2.8362224864419168,3.4786634430580867,2.9033602815815005,,,
2023-07-05 13:00:00,2.6360267909844586,1.9328598547442637,3.3391937272246537,2.938042102129977,,,
2023-07-05 14:00:00,3.080921199622039,2.7416732979536627,3.420169101290415,2.9891994135495152,,,
2023-07-05 15:00:00,3.0450104548217256,2.7304382908115965,3.3595826188318547,3.0282602201325557,,,
2023-07-05 16:00:00,2.976474435812846,2.553921904596625,3.3990269670290667,3.042271967514768,,,
2023-07-05 17:00:00,2.9348216624344485,2.5634246572999517,3.306218667568946,3.0445091271125353,,,
2023-07-05 18:00:00,2.8384729195855734,2.4922791871649466,3.1846666520062,3.0389611324574184,,,
2023-07-05 19:00:00,2.824460887284615,2.4901195557686018,3.158802218800628,3.029043426697294,,,
