Time,Predicted_MHC_Water_Level,CI_Lower,CI_Upper
2023-07-04 11:00:00,1.506152533409301,1.4643154409274333,1.547989625891169
2023-07-04 12:00:00,1.49513955389076,1.432271220130011,1.5580078876515089
2023-07-04 13:00:00,1.5050309790352538,1.4619788428644862,1.5480831152060215
2023-07-04 14:00:00,1.4983930888100963,1.4536463014229517,1.5431398761972408
2023-07-04 15:00:00,1.5002049098045447,1.4455718225766478,1.5548379970324415
2023-07-04 16:00:00,1.4957600022557134,1.4177116160737546,1.5738083884376721
2023-07-04 17:00:00,1.5003757870495913,1.4446910710409122,1.5560605030582704
2023-07-04 18:00:00,1.5027961983026619,1.4465583674220175,1.5590340291833062
2023-07-04 19:00:00,1.5080919342816115,1.4401717954104565,1.5760120731527665
2023-07-04 20:00:00,1.5129047744145234,1.4148846862287865,1.6109248626002604
2023-07-04 21:00:00,1.5903897894772534,1.3914993498586608,1.789280229095846
2023-07-04 22:00:00,1.7277142708477164,1.3858258105615384,2.0696027311338945
2023-07-04 23:00:00,1.8548052417839773,1.4419930700970947,2.2676174134708598
2023-07-05 00:00:00,2.128040894755031,1.4481079631352807,2.807973826374781
2023-07-05 01:00:00,2.2015754489521235,1.57182377086143,2.831327127042817
2023-07-05 02:00:00,2.476131579433392,1.8258277741931546,3.1264353846736297
2023-07-05 03:00:00,2.5783008700633974,1.8289843143967603,3.3276174257300344
2023-07-05 04:00:00,2.81408793619337,2.1281148867584307,3.5000609856283096
2023-07-05 05:00:00,2.8949752667924,2.237355725843571,3.5525948077412286
2023-07-05 06:00:00,2.8960810577801235,2.1989880019695205,3.5931741135907265
2023-07-05 07:00:00,2.926131157907893,2.272507482419101,3.5797548333966844
2023-07-05 08:00:00,3.0899439454667883,2.427384976068636,3.7525029148649405
2023-07-05 09:00:00,3.2670551849546103,2.801333011966838,3.732777357942383
2023-07-05 10:00:00,3.2483891898594788,2.8215417510141467,3.675236628704811
2023-07-05 11:00:00,3.2062007547430698,2.8222908396173487,3.590110669868791
2023-07-05 12:00:00,3.1445592946619203,2.8291599835838506,3.45995860573999
2023-07-05 13:00:00,2.6044288816219647,1.9752758017502772,3.2335819614936523
2023-07-05 14:00:00,3.1206821356711,2.8068342382610947,3.4345300330811055
2023-07-05 15:00:00,3.0812982410047804,2.744210096716444,3.418386385293117
2023-07-05 16:00:00,2.9867841042686227,2.4995992108450866,3.473968997692159
2023-07-05 17:00:00,2.940793807484347,2.555104600186531,3.326483014782163
2023-07-05 18:00:00,2.841868984449994,2.500629384304552,3.1831085845954354
2023-07-05 19:00:00,2.832996785669856,2.4976724152750425,3.1683211560646694
2023-07-05 20:00:00,2.7900947860968706,2.419522667230616,3.1606669049631253
2023-07-05 21:00:00,2.5920615691037794,2.3025871160353995,2.8815360221721593
2023-07-05 22:00:00,2.542456927004025,2.3158027777262875,2.769111076281763
2023-07-05 23:00:00,2.5040992780095714,2.2273563922683373,2.7808421637508056
2023-07-06 00:00:00,2.4550879523622715,2.22228348582354,2.687892418901003
2023-07-06 01:00:00,2.3724651011097606,2.089804391477701,2.6551258107418203
2023-07-06 02:00:00,2.2241830989032843,2.008248687976287,2.4401175098302814
2023-07-06 03:00:00,2.1674725935241237,1.9653321090693363,2.369613077978911
2023-07-06 04:00:00,2.1179480991956603,2.0091193466359796,2.226776851755341
2023-07-06 05:00:00,2.1004610577645617,1.9580163720508492,2.242905743478274
2023-07-06 06:00:00,2.0324387658770062,1.806518357216131,2.2583591745378815
2023-07-06 07:00:00,1.9986493452527627,1.77006429735403,2.2272343931514955
2023-07-06 08:00:00,1.9421396938606144,1.7466821348584636,2.137597252862765
2023-07-06 09:00:00,1.92397485487897,1.75486866539248,2.09308104436546
2023-07-06 10:00:00,1.898687646513719,1.7409219211886684,2.05645337183877
2023-07-06 11:00:00,1.874458743074526,1.7483058651642471,2.000611620984805
2023-07-06 12:00:00,1.8442104260577687,1.7343475091820215,1.954073342933516
2023-07-06 13:00:00,2.0626327380005995,1.5238304524855741,2.601435023515625
2023-07-06 14:00:00,1.8257522860555486,1.725161119136693,1.9263434529744043
2023-07-06 15:00:00,1.8250341660802858,1.726402587906213,1.9236657442543585
2023-07-06 16:00:00,1.8886680352534553,1.5868837880306785,2.1904522824762322
2023-07-06 17:00:00,1.8650050284082884,1.4995180287819263,2.2304920280346505
2023-07-06 18:00:00,1.796046642782189,1.481273396929221,2.1108198886351572
2023-07-06 19:00:00,1.74052008931166,1.6393343492239176,1.8417058293994022
2023-07-06 20:00:00,1.7384698248918653,1.612825140243988,1.8641145095397427
2023-07-06 21:00:00,1.720960775824508,1.6069546840167945,1.8349668676322215
2023-07-06 22:00:00,1.7226970123620515,1.635534392576526,1.809859632147577
2023-07-06 23:00:00,1.7192292126701263,1.6454305849179374,1.7930278404223152
2023-07-07 00:00:00,1.717567829977323,1.6585157387267067,1.7766199212279392
2023-07-07 01:00:00,1.7073710248311935,1.6518156364192838,1.7629264132431033
2023-07-07 02:00:00,1.705387153225069,1.6380615177422386,1.7727127887078995
