Time,Predicted_MHC_Water_Level,CI_Lower,CI_Upper,CI_MAX_Status
2023-08-27 23:00:00,1.590814099595519,1.3803984148534114,1.8012297843376264,정상
2023-08-28 00:00:00,1.592645217357994,1.3810962573884606,1.804194177327528,정상
2023-08-28 01:00:00,1.5937379698436038,1.3809003257681511,1.8065756139190563,정상
2023-08-28 02:00:00,1.5924154235097,1.3808003982702697,1.8040304487491308,정상
2023-08-28 03:00:00,1.5918214579514485,1.3802304904642655,1.8034124254386317,정상
2023-08-28 04:00:00,1.591107172237163,1.380808811924805,1.801405532549521,정상
2023-08-28 05:00:00,1.5867210497881834,1.3700504916164504,1.8033916079599164,정상
2023-08-28 06:00:00,1.5873150153464346,1.3705672629646566,1.8040627677282128,정상
2023-08-28 07:00:00,1.5871900536414727,1.368631874915771,1.8057482323671743,정상
2023-08-28 08:00:00,1.5838625279925185,1.3616175537195334,1.8061075022655035,정상
2023-08-28 09:00:00,1.5775950614077343,1.35708001748503,1.7981101053304391,정상
2023-08-28 10:00:00,1.5775950614077343,1.35708001748503,1.7981101053304391,정상
2023-08-28 11:00:00,1.5775950614077343,1.35708001748503,1.7981101053304391,정상
2023-08-28 12:00:00,1.5773136435774444,1.356845366143397,1.7977819210114918,정상
2023-08-28 13:00:00,1.5773136435774444,1.356845366143397,1.7977819210114918,정상
2023-08-28 14:00:00,1.5773136435774444,1.356845366143397,1.7977819210114918,정상
2023-08-28 15:00:00,1.5658357027325278,1.4373448462068834,1.6943265592581722,정상
2023-08-28 16:00:00,1.5468408466170118,1.3977578519138725,1.6959238413201514,정상
2023-08-28 17:00:00,1.547269630718065,1.3958475913054569,1.698691670130673,정상
2023-08-28 18:00:00,1.5386232165357872,1.374466250985896,1.7027801820856785,정상
2023-08-28 19:00:00,1.5396413188240985,1.3781356963353406,1.701146941312856,정상
2023-08-28 20:00:00,1.5324530159592793,1.3735644341457784,1.69134159777278,정상
2023-08-28 21:00:00,1.5274608317591112,1.3673265227818083,1.687595140736414,정상
2023-08-28 22:00:00,1.525595766534168,1.369043563192169,1.682147969876167,정상
2023-08-28 23:00:00,1.5167543281176437,1.346134650118697,1.6873740061165905,정상
2023-08-29 00:00:00,1.516192397312551,1.349125401824839,1.683259392800263,정상
2023-08-29 01:00:00,1.511233802040774,1.3500984100055464,1.6723691940760017,정상
2023-08-29 02:00:00,1.494207601689295,1.3396717170444636,1.6487434863341262,정상
2023-08-29 03:00:00,1.4945460692718764,1.338541909250559,1.6505502292931935,정상
2023-08-29 04:00:00,1.4918909464499812,1.341787012937889,1.6419948799620734,정상
2023-08-29 05:00:00,1.4824996262793402,1.3488230025183134,1.616176250040367,정상
2023-08-29 06:00:00,1.4819387950941247,1.351336569694363,1.6125410204938864,정상
2023-08-29 07:00:00,1.4755671604734613,1.3534770456579062,1.5976572752890164,정상
2023-08-29 08:00:00,1.4770659609387329,1.3710437935259971,1.5830881283514682,정상
2023-08-29 09:00:00,1.4797774349428603,1.3850031691304747,1.574551700755246,정상
2023-08-29 10:00:00,1.481030288670971,1.3927784156852434,1.5692821616566983,정상
2023-08-29 11:00:00,1.479913441593976,1.395399371197148,1.5644275119908038,정상
2023-08-29 12:00:00,1.486282623044622,1.4382585483002714,1.5343066977889726,정상
2023-08-29 13:00:00,1.485959687052043,1.437846847366472,1.534072526737614,정상
2023-08-29 14:00:00,1.486098680390777,1.4419115335695534,1.5302858272120006,정상
2023-08-29 15:00:00,1.4918117328226774,1.4480257228105513,1.5355977428348035,정상
2023-08-29 16:00:00,1.4752222486888715,1.4258749056973874,1.5245695916803557,정상
2023-08-29 17:00:00,1.4879822767794726,1.4483567010631626,1.5276078524957826,정상
